,Topic,idKategori
0,Family,1
1,Adoption,2
2,Children,3
3,Elder Care,4
4,Fatherhood,5
5,Motherhood,6
6,Health,7
7,Aging,8
8,Coronavirus,9
9,Covid-19,10
10,Death And Dying,11
11,Disease,12
12,Relationships,13
13,Dating,14
14,Divorce,15
15,Friendship,16
16,Love,17
17,Marriage,18
18,Mental Health,19
19,Anxiety,20
20,Counseling,21
21,Grief,22
22,Life Lessons,23
23,Self-awareness,24
24,Productivity,25
25,Career Advice,26
26,Coaching,27
27,Goal Setting,28
28,Morning Routines,29
29,Pomodoro Technique,30
30,Mindfulness,31
31,Guided Meditation,32
32,Journaling,33
33,Meditation,34
34,Transcendental Meditation,35
35,Yoga,36
36,Business,37
37,Entrepreneurship,38
38,Freelancing,39
39,Small Business,40
40,Startups,41
41,Venture Capital,42
42,Marketing,43
43,Advertising,44
44,Branding,45
45,Content Marketing,46
46,Content Strategy,47
47,Digital Marketing,48
48,Leadership,49
49,Employee Engagement,50
50,Leadership Coaching,51
51,Leadership Development,52
52,Management,53
53,Meetings,54
54,Artificial Intelligence,55
55,ChatGPT,56
56,Conversational AI,57
57,Deep Learning,58
58,Large Language Models,59
59,Machine Learning,60
60,Blockchain,61
61,Bitcoin,62
62,Cryptocurrency,63
63,Decentralized Finance,64
64,Ethereum,65
65,Nft,66
66,Data Science,67
67,Analytics,68
68,Data Engineering,69
69,Data Visualization,70
70,Database Design,71
71,Sql,72
72,Programming,73
73,Android Development,74
74,Coding,75
75,Flutter,76
76,Frontend Engineering,77
77,iOS Development,78
78,Programming Languages,79
79,Angular,80
80,CSS,81
81,HTML,82
82,Java,83
83,JavaScript,84
84,Dev Ops,85
85,AWS,86
86,Databricks,87
87,Docker,88
88,Kubernetes,89
89,Terraform,90
90,Writing,91
91,30 Day Challenge,92
92,Book Reviews,93
93,Books,94
94,Creative Nonfiction,95
95,Diary,96
96,Art,97
97,Comics,98
98,Contemporary Art,99
99,Drawing,100
100,Fine Art,101
101,Generative Art,102
102,Gaming,103
103,Game Design,104
104,Game Development,105
105,Indie Game,106
106,Metaverse,107
107,Nintendo,108
108,Economics,109
109,Basic Income,110
110,Debt,111
111,Economy,112
112,Inflation,113
113,Stock Market,114
114,Education,115
115,Charter Schools,116
116,Education Reform,117
117,Higher Education,118
118,PhD,119
119,Public Schools,120
120,Equality,121
121,Disability,122
122,Discrimination,123
123,Diversity In Tech,124
124,Feminism,125
125,Inclusion,126
126,Philosophy,127
127,Atheism,128
128,Epistemology,129
129,Ethics,130
130,Existentialism,131
131,Metaphysics,132
132,Religion,133
133,Buddhism,134
134,Christianity,135
135,Hinduism,136
136,Islam,137
137,Judaism,138
138,Spirituality,139
139,Astrology,140
140,Energy Healing,141
141,Horoscopes,142
142,Mysticism,143
143,Reiki,144
144,Cities,145
145,Abu Dhabi,146
146,Amsterdam,147
147,Athens,148
148,Bangkok,149
149,Barcelona,150
150,Nature,151
151,Birding,152
152,Camping,153
153,Climate Change,154
154,Conservation,155
155,Hiking,156
156,Travel,157
157,Tourism,158
158,Travel Tips,159
159,Travel Writing,160
160,Vacation,161
161,Vanlife,162
